,UBIGEO_CODE,DISTRICTS,DECREE_LAW_19990_NATIONAL_ONP_PENSION_SYSTEM,DECRETO_LEY_20530 ,FISHERMEN_SOCIAL_SECURITY_BENEFITS_FUND,MILITARY_PENSION_FUND,POLICE_PENSION_FUND,LAW_29903_NATIONAL_SYSTEM_OF_INDEPENDENT_PENSIONS,LAW_30003_SPECIAL_PENSIONS_SCHEME_FOR_FISHERMEN,SPP_INTEGRA,SPP_HORIZONTE,SPP_PROFUTURO,SPP_PRIMA,SPP_HABITAT,PENDING_CHOICE_OF_PENSION_PLAN,NO_PENSION_PLAN_DOES_NOT_APPLY,NOT_DETERMINED
45,10610,SANTA ROSA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,20105,INDEPENDENCIA,1769,4,0,0,0,0,0,1172,26,582,690,312,1,157,0
93,20701,SAN LUIS,75,0,0,0,0,0,0,23,0,10,6,7,0,6,0
152,21510,SANTA ROSA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,40110,MIRAFLORES,2325,2,0,0,0,0,0,1065,31,433,754,373,2,342,0
377,50501,SAN MIGUEL,71,0,0,0,0,0,0,50,0,17,19,8,0,4,0
381,50507,SANTA ROSA,8,0,0,0,0,0,0,3,1,1,0,1,0,0,0
493,60812,SANTA ROSA,4,0,0,0,0,0,0,1,0,1,1,1,0,2,0
507,61101,SAN MIGUEL,80,0,0,0,0,0,0,44,0,18,28,14,0,4,0
814,110504,INDEPENDENCIA,79,0,0,0,0,0,0,61,1,29,23,9,0,3,0
848,120206,COMAS,120,0,0,0,0,0,0,56,0,45,34,6,0,0,0
1010,140106,LA VICTORIA,2029,0,0,0,0,0,0,1318,29,360,963,465,1,771,0
1018,140114,SANTA ROSA,98,0,0,0,0,0,0,74,0,67,46,21,0,24,0
1043,150101,LIMA,38519,10,0,0,1,0,38,37479,1993,14487,35338,14432,18,4861,5
1044,150102,ANCON,746,0,0,0,0,0,3,569,16,191,348,196,0,61,0
1045,150103,ATE,30927,5,0,0,0,0,0,32804,1461,13007,29147,11028,20,2687,6
1046,150104,BARRANCO,2615,0,0,1,0,0,0,3294,150,1382,2979,1433,2,435,1
1047,150105,BREÃ‘A,5562,1,0,0,0,0,0,4340,165,1731,3662,1517,5,1198,0
1048,150106,CARABAYLLO,4372,0,0,0,0,0,0,2508,116,1029,1629,741,4,633,0
1049,150107,CHACLACAYO,987,0,0,0,0,0,0,709,42,291,569,207,1,226,0
1050,150108,CHORRILLOS,21077,3,0,0,0,0,0,24086,1076,10561,21179,7985,9,1719,1
1051,150109,CIENEGUILLA,493,0,0,0,0,0,0,287,11,113,228,115,0,86,0
1052,150110,COMAS,11842,0,0,0,1,0,7,8590,208,3439,5845,2651,10,1350,2
1053,150111,EL AGUSTINO,3289,0,0,0,0,0,10,2850,82,1158,2608,1085,5,483,0
1054,150112,INDEPENDENCIA,5709,0,0,0,0,0,0,6550,244,2485,5755,2437,3,615,0
1055,150113,JESUS MARIA,7600,5,0,0,0,0,0,8267,417,3536,7670,3463,5,1334,3
1056,150114,LA MOLINA,9237,1,0,1,0,0,0,12357,519,4756,14017,4991,8,1410,1
1057,150115,LA VICTORIA,20486,12,0,1,3,0,1,17311,632,7185,15079,7526,13,3112,4
1058,150116,LINCE,8970,3,0,0,0,0,10,9575,284,4201,7971,3642,5,1123,0
1059,150117,LOS OLIVOS,15318,1,0,0,1,0,2,12670,413,4999,9501,4198,11,1703,1
1061,150119,LURIN,8493,0,0,0,0,0,0,10827,392,4543,9475,4112,4,377,1
1062,150120,MAGDALENA DEL MAR,10545,1,0,0,0,0,16,15765,482,5882,13834,6342,5,963,2
1063,150121,PUEBLO LIBRE,6642,2,0,0,0,0,0,6776,245,2744,5393,2022,7,829,1
1064,150122,MIRAFLORES,28903,8,0,1,0,0,22,42322,1495,18370,41090,19568,13,2556,4
1065,150123,PACHACAMAC,2189,1,0,0,0,0,0,1960,65,765,1484,673,2,216,0
1066,150124,PUCUSANA,406,0,0,0,0,0,0,486,9,254,456,118,0,19,0
1067,150125,PUENTE PIEDRA,7902,1,0,0,0,0,1,6349,237,2310,4409,2014,4,608,1
1068,150126,PUNTA HERMOSA,447,0,0,0,0,0,0,667,8,286,585,296,1,36,0
1069,150127,PUNTA NEGRA,184,0,0,0,0,0,0,126,0,44,68,32,0,19,0
1071,150129,SAN BARTOLO,103,0,0,0,0,0,0,93,2,27,56,20,0,30,0
1072,150130,SAN BORJA,15452,8,0,1,0,0,39,26042,542,7785,22753,9346,7,1423,5
1073,150131,SAN ISIDRO,32453,4,0,8,1,0,322,60915,2238,30111,64261,32420,8,2092,5
1074,150132,SAN JUAN DE LURIGANCHO,19775,7,0,0,0,0,0,16012,655,6388,12166,4806,13,2358,1
1075,150133,SAN JUAN DE MIRAFLORES,8797,5,0,0,0,0,24,7843,260,3581,6806,2791,10,1691,2
1076,150134,SAN LUIS,6175,1,0,0,0,0,2,5265,191,2274,4436,1849,3,634,0
1078,150136,SAN MIGUEL,9144,3,0,2,1,0,77,11564,397,4614,10520,4446,7,1363,0
1079,150137,SANTA ANITA,9167,0,0,0,0,0,0,8277,194,3416,7812,3102,7,1157,4
1081,150139,SANTA ROSA,198,0,0,0,0,0,0,86,0,45,65,25,0,16,0
1082,150140,SANTIAGO DE SURCO,38106,20,0,7,2,0,386,51338,1988,22117,49317,21748,17,4432,4
1083,150141,SURQUILLO,12948,4,0,0,0,0,1,17033,717,7225,15482,6621,8,1464,0
1084,150142,VILLA EL SALVADOR,10276,0,0,0,0,0,0,9601,275,4158,7905,3603,7,1694,1
1111,150514,SAN LUIS,333,0,0,0,0,0,0,309,3,80,256,71,0,4,0
1381,210504,SANTA ROSA,6,0,0,0,0,0,0,13,0,3,6,8,0,17,0
1404,210808,SANTA ROSA,11,0,0,0,0,0,0,6,0,1,0,0,0,0,0
1416,211105,SAN MIGUEL,72,0,0,0,0,0,0,71,1,15,11,14,0,8,0
1443,220304,SANTA ROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
